ts,route,direction,bytes,billed
1783796971.081088,api,client_to_target,10736,1
1783796971.112180,api,target_to_client,149,0
1783796971.117448,kv,client_to_target,186,0
1783796971.118114,kv,target_to_client,36,1
1783796971.983918,api,target_to_client,491,0
1783796972.027546,api,target_to_client,241,0
1783796972.047690,api,target_to_client,241,0
1783796972.069887,api,target_to_client,244,0
1783796972.089530,api,target_to_client,246,0
1783796972.108622,api,target_to_client,244,0
1783796972.127423,api,target_to_client,248,0
1783796972.146049,api,target_to_client,243,0
1783796972.164657,api,target_to_client,246,0
1783796972.183268,api,target_to_client,248,0
1783796972.201931,api,target_to_client,244,0
1783796972.220591,api,target_to_client,244,0
1783796972.239086,api,target_to_client,245,0
1783796972.257557,api,target_to_client,244,0
1783796972.276102,api,target_to_client,242,0
1783796972.294574,api,target_to_client,244,0
1783796972.313081,api,target_to_client,243,0
1783796972.331744,api,target_to_client,250,0
1783796972.350155,api,target_to_client,246,0
1783796972.368703,api,target_to_client,246,0
1783796972.387103,api,target_to_client,244,0
1783796972.405695,api,target_to_client,242,0
1783796972.424104,api,target_to_client,243,0
1783796972.442695,api,target_to_client,254,0
1783796972.461244,api,target_to_client,242,0
1783796972.479725,api,target_to_client,246,0
1783796972.498257,api,target_to_client,246,0
1783796972.516751,api,target_to_client,243,0
1783796972.535357,api,target_to_client,249,0
1783796972.556046,api,target_to_client,250,0
1783796972.579648,api,target_to_client,250,0
1783796972.599014,api,target_to_client,242,0
1783796972.617819,api,target_to_client,245,0
1783796972.636538,api,target_to_client,244,0
1783796972.655054,api,target_to_client,246,0
1783796972.673576,api,target_to_client,245,0
1783796972.692106,api,target_to_client,249,0
1783796972.710618,api,target_to_client,245,0
1783796972.729078,api,target_to_client,248,0
1783796972.747547,api,target_to_client,242,0
1783796972.766108,api,target_to_client,244,0
1783796972.784651,api,target_to_client,248,0
1783796972.803233,api,target_to_client,249,0
1783796972.821704,api,target_to_client,246,0
1783796972.840213,api,target_to_client,243,0
1783796972.858643,api,target_to_client,249,0
1783796972.877186,api,target_to_client,250,0
1783796972.895656,api,target_to_client,250,0
1783796972.914340,api,target_to_client,242,0
1783796972.932926,api,target_to_client,250,0
1783796972.951435,api,target_to_client,251,0
1783796972.970078,api,target_to_client,246,0
1783796972.989268,api,target_to_client,244,0
1783796973.011602,api,target_to_client,249,0
1783796973.032642,api,target_to_client,242,0
1783796973.051615,api,target_to_client,242,0
1783796973.070294,api,target_to_client,242,0
1783796973.088789,api,target_to_client,242,0
1783796973.107364,api,target_to_client,250,0
1783796973.125840,api,target_to_client,244,0
1783796973.144502,api,target_to_client,245,0
1783796973.163034,api,target_to_client,247,0
1783796973.181300,api,target_to_client,246,0
1783796973.199679,api,target_to_client,246,0
1783796973.218284,api,target_to_client,243,0
1783796973.236974,api,target_to_client,249,0
1783796973.255393,api,target_to_client,250,0
1783796973.273804,api,target_to_client,248,0
1783796973.292403,api,target_to_client,242,0
1783796973.310905,api,target_to_client,247,0
1783796973.329243,api,target_to_client,249,0
1783796973.347605,api,target_to_client,242,0
1783796973.366025,api,target_to_client,244,0
1783796973.384355,api,target_to_client,249,0
1783796973.402804,api,target_to_client,242,0
1783796973.421278,api,target_to_client,242,0
1783796973.439722,api,target_to_client,242,0
1783796973.459898,api,target_to_client,242,0
1783796973.487280,api,target_to_client,250,0
1783796973.507469,api,target_to_client,244,0
1783796973.526109,api,target_to_client,241,0
1783796973.544893,api,target_to_client,241,0
1783796973.563520,api,target_to_client,241,0
1783796973.582128,api,target_to_client,241,0
1783796973.600689,api,target_to_client,241,0
1783796973.619407,api,target_to_client,231,0
1783796973.637685,api,target_to_client,239,0
1783796973.656511,api,target_to_client,232,0
1783796973.675071,api,target_to_client,232,0
1783796973.693476,api,target_to_client,232,0
1783796973.712257,api,target_to_client,234,0
1783796973.735904,api,target_to_client,232,0
1783796973.754816,api,target_to_client,240,0
1783796973.773220,api,target_to_client,232,0
1783796973.792809,api,target_to_client,287,0
1783796977.371765,api,client_to_target,10873,1
1783796977.380014,api,target_to_client,149,0
1783796977.385252,kv,client_to_target,186,0
1783796977.385595,kv,target_to_client,36,1
1783796977.826901,api,target_to_client,491,0
1783796977.845187,api,target_to_client,241,0
1783796977.863842,api,target_to_client,241,0
1783796977.882224,api,target_to_client,244,0
1783796977.900709,api,target_to_client,246,0
